"Result","Training-primary programs","Sector programs"
"Impact on employment, years 3-5",0.0165885329843823,0.0131921483075098
"Earnings impact, year 1",835.295678443368,1169.28146474718
"Earnings impact, year 2",1139.1719639525,3148.97295157088
"Earnings impact, years 3-5",791.362586330321,3702.60847395497
"Control group earnings, years 3-5",16148.2986004197,25137.1033778834
"Average cost",13598.46698283,11601.6872304905
"Cost adjustment for reduced other training",-0.204284472428006,-0.111072766173368
